Sample 	Province 	Ceftriaxone    	Spectinomycin     	Ciprofloxine    	TRNG   	PPNG    
WUSM_Ng_51	GX	0	16	4	0	0
WUSM_Ng_11	ZJ	0	16	4	0	1
WUSM_Ng_48	GX	0	16	16	0	1
WUSM_Ng_55	GX	0	8	16	1	1
WUSM_Ng_65	TJ	0	16	4	0	0
WUSM_Ng_73	TJ	0	16	8	1	1
WUSM_Ng_06	ZJ	0	16	8	0	1
WUSM_Ng_08	ZJ	0	16	4	0	1
WUSM_Ng_09	ZJ	0	16	8	1	1
WUSM_Ng_10	ZJ	0	16	4	1	0
WUSM_Ng_42	SH	0	16	8	1	0
WUSM_Ng_49	GX	0	16	16	0	0
WUSM_Ng_63	TJ	0	16	4	0	1
WUSM_Ng_68	TJ	0	16	8	0	0
WUSM_Ng_69	TJ	0	16	8	1	1
WUSM_Ng_70	TJ	0	16	8	1	1
WUSM_Ng_71	TJ	0	8	2	0	0
WUSM_Ng_75	TJ	0	16	2	0	1
WUSM_Ng_40	SH	0	32	32	0	0
WUSM_Ng_41	SH	0	16	16	1	0
WUSM_Ng_52	GX	0	32	16	1	1
WUSM_Ng_53	GX	0	32	16	0	0
WUSM_Ng_54	GX	0	16	16	1	0
WUSM_Ng_56	GX	0	16	16	1	0
WUSM_Ng_57	GX	0	16	16	0	1
WUSM_Ng_02	ZJ	0	16	8	1	0
WUSM_Ng_04	ZJ	0	16	8	0	0
WUSM_Ng_12	ZJ	0	16	8	0	1
WUSM_Ng_13	ZJ	0	16	8	1	1
WUSM_Ng_15	ZJ	0	16	4	0	0
WUSM_Ng_22	ZJ	0	8	8	1	0
WUSM_Ng_64	TJ	0	16	16	0	0
WUSM_Ng_72	TJ	0	16	8	0	0
WUSM_Ng_23	SH	0	8	32	0	0
WUSM_Ng_24	SH	0	16	8	1	0
WUSM_Ng_27	SH	0	8	8	0	1
WUSM_Ng_29	SH	0	32	8	1	1
WUSM_Ng_30	SH	0	16	16	1	0
WUSM_Ng_32	SH	0	16	16	0	1
WUSM_Ng_35	SH	0	16	16	0	0
WUSM_Ng_36	SH	0	16	16	0	0
WUSM_Ng_37	SH	0	16	4	0	0
WUSM_Ng_39	SH	0	16	8	0	0
WUSM_Ng_59	GX	0	8	2	0	0
WUSM_Ng_16	ZJ	1	16	8	0	1
WUSM_Ng_18	ZJ	1	16	8	1	1
WUSM_Ng_19	ZJ	1	32	8	1	0
WUSM_Ng_20	ZJ	1	16	8	0	0
WUSM_Ng_21	ZJ	1	16	8	0	1
WUSM_Ng_25	SH	1	16	8	1	0
WUSM_Ng_26	SH	1	32	16	0	1
WUSM_Ng_31	SH	1	32	16	0	1
WUSM_Ng_34	SH	1	16	8	0	1
WUSM_Ng_38	SH	1	16	16	0	1
WUSM_Ng_43	GX	1	8	8	0	0
WUSM_Ng_44	GX	1	32	16	1	1
WUSM_Ng_45	GX	1	16	8	1	1
WUSM_Ng_46	GX	1	16	16	0	0
WUSM_Ng_62	TJ	1	16	32	0	0
WUSM_Ng_60	GX	1	8	16	0	0
WUSM_Ng_14	ZJ	1	16	8	0	0
SS3160	NaN	NaN	NaN	NaN	NaN	NaN
NJ1711654	NaN	NaN	NaN	NaN	NaN	NaN
TFG-A2	NaN	NaN	NaN	NaN	NaN	NaN
TFG-B2	NaN	NaN	NaN	NaN	NaN	NaN
NCTC13484	NaN	NaN	NaN	NaN	NaN	NaN
FC498	NaN	NaN	NaN	NaN	NaN	NaN
FC460	NaN	NaN	NaN	NaN	NaN	NaN
FC428	NaN	NaN	NaN	NaN	NaN	NaN
FQ01	NaN	NaN	NaN	NaN	NaN	NaN
FQ82	NaN	NaN	NaN	NaN	NaN	NaN
FQ04	NaN	NaN	NaN	NaN	NaN	NaN
FQ84	NaN	NaN	NaN	NaN	NaN	NaN
FQ36	NaN	NaN	NaN	NaN	NaN	NaN
FQ20	NaN	NaN	NaN	NaN	NaN	NaN
FQ35	NaN	NaN	NaN	NaN	NaN	NaN
FQ48	NaN	NaN	NaN	NaN	NaN	NaN
FQ02	NaN	NaN	NaN	NaN	NaN	NaN
G97687	NaN	NaN	NaN	NaN	NaN	NaN
G7944	NaN	NaN	NaN	NaN	NaN	NaN
